Ticker,environmentScore,socialScore,governanceScore,totalEsg,ratingYear,ratingMonth,Trading_Days,Mean_Daily_Excess_Return,Annualized_Excess_Return,Sharpe_Ratio,Cumulative_Return,Annualized_Return,Mean_Daily_Return,Volatility,Beta,Downside_Deviation,Excess_Return_Std,VaR_5pct,Max_Drawdown,Market_Cap_Billions,Log_Market_Cap,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Unknown,Sector_Utilities
A,1.12,6.42,6.1,13.64,2023.0,9.0,250,0.0005746857429258503,0.14482080721731427,0.5269428443452424,0.1723402007686674,0.1738323843758176,0.0007859409247553173,0.27482963088574824,0.9094283642338319,0.1946838689253969,0.27483209758216315,-0.02437754162748,-0.1889550008796681,41.246478336,3.7195657354634233,0,0,0,0,0,1,0,0,0,0,0
AAL,9.94,11.65,4.76,26.35,2023.0,9.0,250,-0.0011820480351951615,-0.2978761048691807,-0.7390903100031576,-0.27656678032800786,-0.2784380309365082,-0.0009707928533656929,0.40302767541753065,1.5019044841933271,0.2919715324961354,0.4030307268781647,-0.0364072324111873,-0.40943877240708704,9.775881216,2.2799182517825893,0,0,0,0,0,0,1,0,0,0,0
AAPL,0.46,7.39,9.37,17.22,2023.0,9.0,250,0.0006460606787887291,0.16280729105475972,0.7263354459637686,0.20869836316352175,0.21053256610239557,0.0008573158606181975,0.22414865182747098,1.0071507138507734,0.14351514265651424,0.22414889973975047,-0.02170573178082163,-0.16712937513675938,4137.20379392,8.327775426529236,0,0,0,0,0,0,0,0,1,0,0
ABBV,2.38,17.19,10.36,29.93,2023.0,9.0,250,0.0009864133535366709,0.24857616509124106,1.3007877023541023,0.32462889069528544,0.327611411503429,0.0011976685353661382,0.19109244028920894,0.30139884407436046,0.1497163374748134,0.1910966444727145,-0.018745858390460644,-0.14997260791884962,399.570305024,5.9903897322613915,0,0,0,0,0,1,0,0,0,0,0
ABT,2.27,14.24,8.33,24.83,2023.0,9.0,250,0.00024533777586411513,0.061825119517757016,0.3276004742765847,0.10131257485207734,0.10216314039486396,0.0004565929576935848,0.1887179092164593,0.23937058951101042,0.130816874717282,0.18872109283199526,-0.017079326833552816,-0.17270171583797497,217.696616448,5.3831024258505416,0,0,0,0,0,1,0,0,0,0,0
ACGL,1.47,10.1,10.89,22.46,2023.0,9.0,250,0.0014237591850443795,0.35878731463118363,1.6211503770148812,0.46851049475152107,0.47303162517130404,0.001635014366873845,0.22131359142329735,0.2086380875056951,0.15018928138716867,0.22131649211459317,-0.02304419553313047,-0.18422224256727307,34.231764992,3.5331540139355404,0,0,0,0,1,0,0,0,0,0,0
ACN,0.82,4.61,4.41,9.84,2023.0,9.0,250,6.002314425406352e-05,0.015125832352024008,0.06702016551412786,0.043357607847902546,0.0437119420134684,0.00027127832608353486,0.22568820671688913,0.7588698109085639,0.18037379355000632,0.22569076390650636,-0.021549642194426715,-0.27176861001586355,166.046285824,5.112266579755669,0,0,0,0,0,0,0,0,1,0,0
ADBE,1.94,5.99,5.15,13.08,2023.0,9.0,250,9.473239284323254e-05,0.0238725629964946,0.07062191312910224,0.019885923074752787,0.020046594531593964,0.00030598757467270056,0.3380351615924828,1.3059425639204154,0.27030524085701696,0.33803336583156196,-0.02757653692730556,-0.30836854518328205,146.883493888,4.9896397139531,0,0,0,0,0,0,0,0,1,0,0
ADI,9.27,6.68,6.98,22.92,2023.0,9.0,250,0.0009729273369041092,0.24517768889983552,0.8240483260607302,0.2872883065629175,0.28989164831737946,0.0011841825187335734,0.297525066497763,1.5434669268317325,0.17204380438471,0.29752828947772975,-0.026966379097817537,-0.17576954732510278,137.734815744,4.925330211423617,0,0,0,0,0,0,0,0,1,0,0
ADM,16.64,10.15,5.01,31.79,2023.0,9.0,250,-0.0010474156270859091,-0.2639487380256491,-0.8003914117746661,-0.23561848629333249,-0.2372597643487755,-0.0008361604452564406,0.3297733077909469,0.4448996450293721,0.36526875163305716,0.3297745754672821,-0.023967385204892746,-0.36292622323598384,28.358418432,3.344923932548915,0,0,1,0,0,0,0,0,0,0,0
ADP,2.8,5.54,5.49,13.82,2023.0,9.0,250,0.00015771535454995797,0.03974426934658941,0.22040581750511934,0.07882699379124691,0.0794820348117864,0.0003689705363794297,0.18031627487760007,0.465898868444856,0.16652410583419122,0.18032314117873172,-0.014456902668344119,-0.1680047852913109,105.983565824,4.663284042695991,0,0,0,0,0,0,0,0,1,0,0
ADSK,3.68,8.19,4.89,16.76,2023.0,9.0,250,0.0005845523180567851,0.14730718415030986,0.5311640495349196,0.17443863684548222,0.17595031540505257,0.0007958074998862541,0.2773274840315901,1.4197738183661255,0.1987046183421198,0.27732898015084073,-0.02859317612277864,-0.25029999187509955,65.335619584,4.1795373635827975,0,0,0,0,0,0,0,0,1,0,0
AEE,12.85,9.07,5.25,27.17,2023.0,9.0,250,7.60980492652305e-05,0.019176708414838085,0.09261575769912987,0.05175277687604596,0.05217741801401021,0.00028735323109469884,0.20705405403252264,0.21808040530576894,0.1664875353757793,0.20705664879550245,-0.018936067822248586,-0.16478113103991635,27.011622912,3.2962672515973837,0,0,0,0,0,0,0,0,0,0,1
AEP,12.66,8.1,5.38,26.14,2023.0,9.0,250,0.0009004803651256113,0.22692105201165405,1.1169099777189706,0.293601691458107,0.29626853517477536,0.001111735546955078,0.20316537384404626,0.331843139223942,0.13315040011009407,0.20316861388872864,-0.019419720638912744,-0.11501236747594673,62.915121152,4.14178653468779,0,0,0,0,0,0,0,0,0,0,1
