Ticker,Volatility,Beta,Downside_Deviation,Excess_Return_Std,VaR_5pct,Max_Drawdown
A,0.27482963088574824,0.9094283642338319,0.1946838689253969,0.27483209758216315,-0.02437754162748,-0.1889550008796681
AAL,0.40302767541753065,1.5019044841933271,0.2919715324961354,0.4030307268781647,-0.0364072324111873,-0.40943877240708704
AAPL,0.22414865182747098,1.0071507138507734,0.14351514265651424,0.22414889973975047,-0.02170573178082163,-0.16712937513675938
ABBV,0.19109244028920894,0.30139884407436046,0.1497163374748134,0.1910966444727145,-0.018745858390460644,-0.14997260791884962
ABT,0.1887179092164593,0.23937058951101042,0.130816874717282,0.18872109283199526,-0.017079326833552816,-0.17270171583797497
ACGL,0.22131359142329735,0.2086380875056951,0.15018928138716867,0.22131649211459317,-0.02304419553313047,-0.18422224256727307
ACN,0.22568820671688913,0.7588698109085639,0.18037379355000632,0.22569076390650636,-0.021549642194426715,-0.27176861001586355
ADBE,0.3380351615924828,1.3059425639204154,0.27030524085701696,0.33803336583156196,-0.02757653692730556,-0.30836854518328205
ADI,0.297525066497763,1.5434669268317325,0.17204380438471,0.29752828947772975,-0.026966379097817537,-0.17576954732510278
ADM,0.3297733077909469,0.4448996450293721,0.36526875163305716,0.3297745754672821,-0.023967385204892746,-0.36292622323598384
ADP,0.18031627487760007,0.465898868444856,0.16652410583419122,0.18032314117873172,-0.014456902668344119,-0.1680047852913109
ADSK,0.2773274840315901,1.4197738183661255,0.1987046183421198,0.27732898015084073,-0.02859317612277864,-0.25029999187509955
AEE,0.20705405403252264,0.21808040530576894,0.1664875353757793,0.20705664879550245,-0.018936067822248586,-0.16478113103991635
AEP,0.20316537384404626,0.331843139223942,0.13315040011009407,0.20316861388872864,-0.019419720638912744,-0.11501236747594673
AES,0.3821234971992335,1.2240941513492922,0.2863734469685531,0.382125474478868,-0.04332989691035886,-0.2861238860083618
AFL,0.19509983756076804,0.32680267861285295,0.1834287001961852,0.19510211095769603,-0.013459159344280595,-0.11116302386007813
AIG,0.19586778848444505,0.7126698490296342,0.153432987355062,0.19586788709903716,-0.02120979712900821,-0.12888002403060245
AIZ,0.21558223291304104,0.42278715073853185,0.1070575839722161,0.215583200567764,-0.016930188749036644,-0.14322145095159378
AJG,0.17817668529470507,0.35970748063116725,0.14803991140657283,0.17817621064024605,-0.017606780037801428,-0.12972480545677215
AKAM,0.2436067471934572,0.67431082876681,0.2111154341281644,0.243607581225308,-0.016834215562009088,-0.31226624873061193
ALB,0.5660887298599054,2.1044133756990475,0.381874441415103,0.5660938883325366,-0.05802988888697692,-0.6372012083319342
ALL,0.2132094535331988,0.17526121284635798,0.13221689439761916,0.21320853348061816,-0.017885238389276317,-0.10455501941165579
ALLE,0.22790788262568723,0.8985223151687687,0.1364277740206176,0.2279142593651279,-0.020370649579009723,-0.1525611115716515
AMAT,0.38645194239321906,2.0924322848957786,0.279618994988986,0.3864510446710396,-0.03807654128780439,-0.2998784419649547
AME,0.20108194224660383,0.7933536700299056,0.19032180072939817,0.20108536299658059,-0.018241228995194862,-0.17397651577428994
AMGN,0.2478334438975436,0.7282903897646545,0.15420009817362015,0.2478337920465737,-0.019803784188798645,-0.1904424390668611
AMP,0.19187565693727412,0.8554683725707756,0.134817398286464,0.1918791621098885,-0.020545213511660818,-0.12266115038422981
AMT,0.2596901486338079,0.42958370457136685,0.14655714840478307,0.2596911030901282,-0.02188809690855399,-0.2185000598329189
AMZN,0.2856565598827646,1.5659694382163183,0.19802263809139672,0.2856550637888194,-0.02529283302553494,-0.19489997863769493
ANET,0.4051198129578656,1.9783620949866676,0.2612808305065837,0.4051177601532929,-0.03075692417610046,-0.19891002394138763
ANSS,0.28888800879258303,1.199437760742185,0.15402758033926384,0.28888999363964024,-0.024949437559278215,-0.1828152431802175
AOS,0.24130322898970627,0.8709342069825742,0.1938388704149847,0.24130383203268577,-0.02132855634513626,-0.14253098643057682
APA,0.31908812284162036,0.5281765656152039,0.21941254595975856,0.3190886926599763,-0.0353761945635935,-0.403795219776898
APD,0.2986499287521879,0.4836225522539281,0.3019834238707022,0.298651560350643,-0.01852832916697364,-0.2963737321521757
APH,0.22920518014939564,1.2842213340633553,0.19477188406409837,0.2292077822245498,-0.01955916872739228,-0.17071443896159563
APTV,0.37072960350071604,1.1468233895082158,0.26620884249376436,0.3707338490155942,-0.03901320835739795,-0.35071732280738904
ARE,0.33538227200953,1.2929849808113318,0.2055238333687221,0.3353857370828644,-0.029987643485072588,-0.21233993727991415
ATO,0.1625611478794417,0.35974119653425213,0.10775975955644478,0.1625639092954804,-0.01673212533502158,-0.11687863873138511
AVB,0.19888115235624798,0.6660764701732815,0.11094736559885253,0.19888595304687212,-0.018488498644789093,-0.11583013281012954
AVGO,0.42942228325664183,2.2372857798623342,0.25880866993957097,0.42942146463630987,-0.0368140017215201,-0.2548950489425626
AVY,0.17700994905238476,0.8678127579315985,0.11815888898794927,0.17701333055846194,-0.0174614488575179,-0.11872603473661393
AWK,0.22283275630306018,0.5687738730966511,0.13277331947737922,0.2228364552174722,-0.02086036553967497,-0.19265141761817334
AXP,0.2264592740800555,0.9625871207602525,0.17072338810695556,0.22646254692830167,-0.019180338795377994,-0.13703818284828184
AZO,0.2132369363321766,0.3951462127517718,0.15349348059224002,0.21323690418731056,-0.020275541739226934,-0.15442128599427613
BA,0.3178545722394539,0.7864250628346405,0.2407319594935038,0.31785435523285976,-0.03075194953007931,-0.38229836046680343
BAC,0.23615110750372484,0.8721734189638894,0.13887484095938055,0.23615307346397013,-0.02225614880629842,-0.16949919241313455
