Ticker,Trading_Days,Mean_Daily_Excess_Return,Annualized_Excess_Return,Sharpe_Ratio,Cumulative_Return,Annualized_Return,Mean_Daily_Return
A,250,0.0005746857429258503,0.14482080721731427,0.5269428443452424,0.1723402007686674,0.1738323843758176,0.0007859409247553173
AAL,250,-0.0011820480351951615,-0.2978761048691807,-0.7390903100031576,-0.27656678032800786,-0.2784380309365082,-0.0009707928533656929
AAPL,250,0.0006460606787887291,0.16280729105475972,0.7263354459637686,0.20869836316352175,0.21053256610239557,0.0008573158606181975
ABBV,250,0.0009864133535366709,0.24857616509124106,1.3007877023541023,0.32462889069528544,0.327611411503429,0.0011976685353661382
ABT,250,0.00024533777586411513,0.061825119517757016,0.3276004742765847,0.10131257485207734,0.10216314039486396,0.0004565929576935848
ACGL,250,0.0014237591850443795,0.35878731463118363,1.6211503770148812,0.46851049475152107,0.47303162517130404,0.001635014366873845
ACN,250,6.002314425406352e-05,0.015125832352024008,0.06702016551412786,0.043357607847902546,0.0437119420134684,0.00027127832608353486
ADBE,250,9.473239284323254e-05,0.0238725629964946,0.07062191312910224,0.019885923074752787,0.020046594531593964,0.00030598757467270056
ADI,250,0.0009729273369041092,0.24517768889983552,0.8240483260607302,0.2872883065629175,0.28989164831737946,0.0011841825187335734
ADM,250,-0.0010474156270859091,-0.2639487380256491,-0.8003914117746661,-0.23561848629333249,-0.2372597643487755,-0.0008361604452564406
ADP,250,0.00015771535454995797,0.03974426934658941,0.22040581750511934,0.07882699379124691,0.0794820348117864,0.0003689705363794297
ADSK,250,0.0005845523180567851,0.14730718415030986,0.5311640495349196,0.17443863684548222,0.17595031540505257,0.0007958074998862541
AEE,250,7.60980492652305e-05,0.019176708414838085,0.09261575769912987,0.05175277687604596,0.05217741801401021,0.00028735323109469884
AEP,250,0.0009004803651256113,0.22692105201165405,1.1169099777189706,0.293601691458107,0.29626853517477536,0.001111735546955078
AES,250,-9.472845213967552e-05,-0.023871569939198232,-0.06247050127122148,-0.04248184766968155,-0.042814321435283076,0.00011652672968979317
AFL,250,0.001423559162581759,0.3587369089706033,1.8387136213425603,0.4759931197694669,0.48059748632217825,0.0016348143444112275
AIG,250,0.0009169499335347904,0.23107138325076718,1.1797308209789898,0.3006414731376539,0.30337941868621465,0.001128205115364262
AIZ,250,0.0012318860475625205,0.31043528398575515,1.4399790112039665,0.4022996722771448,0.4060978986250099,0.0014431412293919902
AJG,250,0.0007964481105226714,0.20070492385171318,1.126440634978789,0.26615310533880554,0.2685456904939849,0.0010077032923521384
AKAM,250,-0.00022839185149589912,-0.057554746576966576,-0.23626007978682442,-0.03331753381175351,-0.03357954818394959,-1.713666966643107e-05
ALB,250,-0.002753587994740572,-0.6939041746746242,-1.2257757749665175,-0.5493358510158151,-0.5522002624107705,-0.002542332812911105
ALL,250,0.0020240040756819185,0.5100490270718434,2.3922542815023387,0.7089363839871128,0.7162782680029738,0.0022352592575113892
ALLE,250,0.0006535252477584036,0.1646883624351177,0.7225891126508248,0.20993460860907587,0.2117805976294218,0.0008647804295878706
AMAT,250,0.0010761563645338326,0.2711914038625258,0.7017484041047768,0.28099219085743576,0.2835324535166235,0.0012874115463633014
AME,250,0.00012088695949453882,0.03046351379262378,0.15149543128677054,0.06473706536195412,0.06527150905420576,0.00033214214132400676
AMGN,250,0.0009598039957904098,0.24187060693918327,0.9759387730859973,0.3004168037249333,0.3031524753458765,0.0011710591776198775
AMP,250,0.0009513247532603054,0.23973383782159696,1.2494000660910864,0.31296195158447726,0.31582507403784343,0.0011625799350897766
AMT,250,0.0007796606806108377,0.1964744915139311,0.756569975544148,0.23933849150588404,0.24146779443288402,0.0009909158624403069
AMZN,250,0.000976563128120447,0.24609390828635264,0.8615072494156318,0.29235452005738516,0.29500879956883863,0.0011878183099499158
ANET,250,0.0024420643515085296,0.6154002165801494,1.5190650154347407,0.7905350820326253,0.7988986557460693,0.0026533195333379982
ANSS,250,-2.3152108347455012e-05,-0.005834331303558663,-0.020195684973555627,0.007491504427747708,0.007551662191175756,0.00018810307348201565
AOS,250,0.0004219534717606551,0.10633227488368509,0.4406572162073326,0.13796386527093274,0.13914104262365323,0.0006332086535901236
APA,250,-0.0018427928442793211,-0.4643837967583889,-1.4553439449301964,-0.3680124531074874,-0.3703282795323096,-0.0016315376624498519
APD,250,-0.0002930707529305289,-0.07385382973849328,-0.2472909555596577,-0.06432448700370674,-0.06482203326658109,-8.181557110105931e-05
APH,250,0.0015781903250160177,0.39770396190403645,1.7351241656987664,0.5230890184181449,0.5282242581279324,0.001789445506845486
APTV,250,-0.00145374135205076,-0.36634282071679153,-0.9881558473539386,-0.31543688159936967,-0.31750919392583077,-0.0012424861702212931
ARE,250,9.712046066458733e-05,0.02447435608747601,0.072973753446853,0.02240276028174626,0.022583991133503956,0.0003083756424940547
ATO,250,0.00033789496271089737,0.08514953060314613,0.5237911106602151,0.1322421764184043,0.13336773036384142,0.0005491501445403624
AVB,250,0.0007425640805269662,0.18712614829279547,0.9408716172564225,0.24472008894607966,0.2469018589730938,0.0009538192623564372
AVGO,250,0.0026474863247459455,0.6671665538359782,1.5536404413343008,0.8660891369179693,0.8754256166830288,0.002858741506575417
AVY,250,0.0004914382782391064,0.12384244611625482,0.6996221455499565,0.17368533006555875,0.1751900067463259,0.0007026934600685772
AWK,250,3.8003405542822e-05,0.009576858196791145,0.04297707117735663,0.03860661790720088,0.03892140515326137,0.00024925858737229135
AXP,250,0.0018226647329535556,0.459311512704296,2.0282007728620783,0.6204109873991275,0.6266802010797838,0.0020339199147830305
AZO,250,0.0007759621436310698,0.19554246019502958,0.9170197857649541,0.2513737526082478,0.253620651324574,0.0009872173254605401
BA,250,-0.0010148164430808088,-0.2557337436563638,-0.8045626540778829,-0.22229180734145249,-0.2238543864353304,-0.0008035612612513429
BAC,250,0.0012626359421157836,0.31818425741317746,1.347364456223022,0.406142189222948,0.40998168922275147,0.0014738911239452503
BALL,250,0.0005240839197776716,0.13206914778397325,0.5019625401344074,0.1616603134677026,0.16305374957425522,0.0007353391016071401
BAX,250,-0.0003160103858742238,-0.07963461724030439,-0.2771672873123941,-0.06551724008333037,-0.06602368291954974,-0.0001047552040447563
BBWI,250,-0.0007241981213241527,-0.18249792657368646,-0.43684416916483576,-0.19370906949987698,-0.19509669823844744,-0.0005129429394946847
BBY,250,0.0011510081810619207,0.290054061627604,0.8771145696597346,0.33386483331440253,0.33694246321845456,0.0013622633628913865
BDX,250,-0.0006884945233970749,-0.17350061989606289,-0.8848955727207725,-0.12946200136181163,-0.1304270241363743,-0.00047723934156760175
BEN,250,-0.0011556180893133904,-0.2912157585069744,-0.9503007060686552,-0.24674361224561203,-0.2484491577469975,-0.0009443629074839255
BG,250,-0.0006052005770087335,-0.15251054540620085,-0.6469473809542909,-0.11858806979429748,-0.11947770689388792,-0.0003939453951792679
BIIB,250,-0.0011393830960519438,-0.2871245402050899,-1.1015603759407495,-0.2335966455224141,-0.235226103375756,-0.0009281279142224792
BIO,250,-0.0006351606625404431,-0.16006048696019168,-0.5001426359467076,-0.14515965000838982,-0.14623156645116198,-0.00042390548071097545
BK,250,0.0014807257520334947,0.3731428895124407,2.077907122434918,0.5019815933710663,0.5068774275104113,0.0016919809338629657
BKNG,250,0.0008370481601195818,0.2109361363501346,0.8020076669939373,0.2550138577236145,0.25729650827265815,0.0010483033419490487
BLK,250,0.0008432061051683063,0.2124879385024132,1.0823519494214993,0.27700759631388805,0.27950806750571267,0.0010544612869977713
BMY,250,-0.0009401961624476672,-0.23692943293681212,-0.8992489226901723,-0.19461463408152757,-0.19600793229472102,-0.0007289409806182015
BR,250,0.0003586507530605383,0.09037998977125565,0.48925620958947375,0.13380203676463376,0.13494164131350272,0.0005699059348900093
BRO,250,0.0012519103648978788,0.31548141195426543,1.6924368114110357,0.416846382443272,0.42080130645066505,0.0014631655467273492
BSX,250,0.0015510841893173642,0.3908732157079758,2.0492712899278547,0.5253637177320416,0.5305248994936413,0.001762339371146836
