Ticker,Company_Name,Sector,Industry,Market_Cap,Country
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,12514031616.0,United States
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,24052019200.0,United States
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,19878469632.0,United States
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,18123423744.0,United States
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,27953346560.0,United States
CI,The Cigna Group,Healthcare,Healthcare Plans,70398345216.0,United States
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,25223516160.0,United States
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,61513687040.0,United States
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,12311479296.0,United States
CMCSA,Comcast Corporation,Communication Services,Telecom Services,98397306880.0,United States
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,97513398272.0,United States
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,45067145216.0,United States
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,70081011712.0,United States
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,21460629504.0,United States
CNC,Centene Corporation,Healthcare,Healthcare Plans,18618703872.0,United States
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,24880809984.0,United States
COF,Capital One Financial Corporation,Financial Services,Credit Services,147466289152.0,United States
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,15568959488.0,United States
COP,ConocoPhillips,Energy,Oil & Gas E&P,116001759232.0,United States
COR,"Cencora, Inc.",Healthcare,Medical Distribution,65534865408.0,United States
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,394021339136.0,United States
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,8951695360.0,United States
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,37181558784.0,United States
CPT,Camden Property Trust,Real Estate,REIT - Residential,10972706816.0,United States
CRM,"Salesforce, Inc.",Technology,Software - Application,248110678016.0,United States
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,311583309824.0,United States
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,28112166912.0,United States
CSX,CSX Corporation,Industrials,Railroads,67766464512.0,United States
CTAS,Cintas Corporation,Industrials,Specialty Business Services,73731883008.0,United States
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,20276629504.0,United States
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,39418433536.0,United States
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,97149665280.0,United States
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,299624267776.0,United States
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,49902690304.0,United States
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,43892158464.0,United States
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,17002019840.0,United States
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,126068121600.0,United States
DFS,Unknown,Unknown,Unknown,,Unknown
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,27354171392.0,United States
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,20331739136.0,United States
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,45442965504.0,United States
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,160739262464.0,United States
DIS,The Walt Disney Company,Communication Services,Entertainment,193511620608.0,United States
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,57274609664.0,United States
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,24543451136.0,United States
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,26234667008.0,United States
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,14206604288.0,United States
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,20974258176.0,United States
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,26998790144.0,United States
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,89602129920.0,United States
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,8369075200.0,United States
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,23849435136.0,United States
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,25733228544.0,United States
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,50904100864.0,United States
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,38319448064.0,United States
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,72934137856.0,United States
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,34451304448.0,United States
EFX,Equifax Inc.,Industrials,Consulting Services,25907175424.0,United States
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,12946032640.0,Bermuda
EIX,Edison International,Utilities,Utilities - Regulated Electric,21562249216.0,United States
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,37037826048.0,United States
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,74446192640.0,United States
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,6937026048.0,United States
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,76501401600.0,United States
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,60397793280.0,United States
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,72650825728.0,United States
EQR,Equity Residential,Real Estate,REIT - Residential,23849848832.0,United States
EQT,EQT Corporation,Energy,Oil & Gas E&P,36607770624.0,United States
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,25025116160.0,United States
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17420449792.0,United States
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,133681733632.0,Ireland
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,41488850944.0,United States
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,49504276480.0,United States
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,43762749440.0,United States
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,20093128704.0,United States
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,32711639040.0,United States
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,28484648960.0,United States
